21	121
912	941
967	988
990	1018
1042	1081
1088	1130
1146	1169
1191	1215
1222	1255
1320	1348
1369	1399
1417	1444
1456	1488
1496	1530
1549	1607
1643	1682
1687	1700
1710	1722
1736	1775
1779	1792
1793	1811
1822	1853
1867	1909
1920	1939
1965	2009
2454	2470
2488	2532
2538	2574
2586	2608
2609	2628
2641	2672
2673	2713
2723	2761
2781	2797
2817	2836
2837	2851
2858	2868
2907	2923
3003	3045
3099	3120
3188	3226
3231	3266
3283	3316
3334	3356
3367	3420
3425	3447
3466	3490
3509	3562
4280	4304
4316	4345
4363	4401
4406	4418
4419	4439
4459	4494
4495	4515
4551	4561
4567	4588
4642	4676
4687	4702
4706	4720
4736	4769
4788	4811
4822	4866
4869	4905
4920	4952
4962	5010
5013	5048
5052	5083
5097	5135
5142	5171
5183	5231
5239	5250
5283	5322
5325	5354
