337	471
507	650
660	694
697	740
750	831
839	872
881	918
932	1009
1045	1078
1092	1125
1137	1169
1182	1219
1229	1261
1274	1307
1318	1351
1364	1395
1408	1448
1454	1495
1500	1537
1547	1605
1620	1647
1665	1694
1709	1732
1738	1784
1791	1925
1961	2104
2114	2148
2153	2179
2184	2229
2240	2277
2282	2320
2325	2370
2376	2407
2416	2473
2484	2498
2501	2543
2552	2588
2603	2643
2654	2677
2681	2718
2729	2764
2775	2810
2820	2856
2865	2881
2884	2956
2962	3045
3052	3135
3144	3173
3188	3240
3245	3379
3415	3558
3568	3602
3606	3648
3658	3739
3747	3780
3789	3826
3840	3917
3925	3958
3971	4012
4022	4103
4153	4190
4204	4281
4293	4346
