337	471
507	646
660	692
697	735
750	827
839	869
881	913
932	1009
1045	1078
1092	1124
1137	1166
1182	1217
1229	1260
1274	1305
1318	1350
1364	1394
1408	1448
1454	1495
1500	1535
1547	1603
1620	1647
1665	1693
1709	1730
1738	1784
1791	1923
1961	2101
2114	2147
2153	2175
2184	2229
2240	2276
2282	2319
2325	2370
2376	2405
2416	2472
2484	2498
2501	2541
2552	2587
2603	2643
2654	2677
2681	2718
2729	2764
2775	2808
2820	2856
2865	2880
2884	2955
2962	3042
3052	3131
3144	3171
3188	3234
3245	3376
3415	3555
3568	3601
3606	3648
3658	3739
3747	3777
3789	3823
3840	3917
3925	3955
3971	4012
4022	4100
4153	4187
4204	4279
4293	4338
